Name,Age,Gender,City,Physics,Chemistry,Mathematics,Attendance
Student_1,20,Male,Mumbai,76,82,26,99.16
Student_2,21,Female,Mumbai,32,76,35,79.47
Student_3,18,Male,Kolkata,30,36,79,96.24
Student_4,20,Female,Mumbai,34,63,21,77.38
Student_5,20,Male,Mumbai,43,26,20,74.0
Student_6,21,Female,Kolkata,56,27,67,85.8
Student_7,18,Female,Kolkata,38,80,31,86.76
Student_8,18,Male,Delhi,44,83,88,94.57
Student_9,20,Male,Bangalore,71,26,56,69.21
Student_10,19,Male,Bangalore,80,26,51,79.97
Student_11,20,Male,Mumbai,92,78,28,82.88
Student_12,20,Male,Bangalore,81,25,38,90.74
Student_13,20,Male,Mumbai,33,43,67,61.74
Student_14,20,Male,Delhi,52,26,99,99.78
Student_15,21,Male,Kolkata,44,77,22,78.8
Student_16,18,Female,Kolkata,72,68,39,71.18
Student_17,21,Female,Kolkata,58,56,43,95.34
Student_18,21,Male,Bangalore,65,94,73,89.91
Student_19,21,Female,Delhi,42,56,52,98.12
Student_20,20,Female,Bangalore,61,92,43,73.23
Student_21,19,Female,Bangalore,88,79,94,82.11
Student_22,18,Female,Delhi,57,80,91,82.89
Student_23,19,Male,Delhi,95,41,55,99.21
Student_24,21,Female,Delhi,71,62,57,63.01
Student_25,21,Male,Delhi,74,48,44,72.23
Student_26,19,Female,Kolkata,91,93,37,67.64
Student_27,19,Female,Chennai,86,94,85,70.74
Student_28,19,Female,Chennai,35,35,73,79.41
Student_29,21,Male,Delhi,57,40,54,74.91
Student_30,21,Female,Chennai,57,83,99,75.79
Student_31,18,Male,Chennai,73,94,80,93.77
Student_32,18,Female,Delhi,59,27,60,97.2
Student_33,21,Male,Chennai,91,44,52,62.82
Student_34,19,Female,Bangalore,91,83,87,68.36
Student_35,19,Male,Mumbai,30,60,52,86.85
Student_36,18,Male,Mumbai,56,43,33,74.35
Student_37,21,Female,Delhi,91,91,40,70.17
Student_38,18,Male,Kolkata,32,43,67,71.81
Student_39,18,Female,Delhi,99,44,39,72.9
Student_40,20,Female,Kolkata,56,76,27,93.95
Student_41,20,Female,Mumbai,38,57,26,65.46
Student_42,20,Female,Delhi,91,64,86,88.36
Student_43,19,Female,Bangalore,66,63,36,82.11
Student_44,21,Female,Chennai,80,25,52,71.86
Student_45,21,Female,Kolkata,73,35,67,76.79
Student_46,21,Female,Chennai,53,81,95,70.25
Student_47,21,Female,Chennai,88,74,78,84.46
Student_48,20,Female,Delhi,61,47,41,63.26
Student_49,19,Female,Chennai,81,55,49,60.21
Student_50,19,Male,Bangalore,91,66,57,85.12
